ID,date,meals_served,kitchen_staff,temperature_C,humidity_percent,day_of_week,special_event,past_waste_kg,staff_experience,waste_category,food_waste_kg
854,9/26/2024,218,7,14.8 °C,60.00%,Thursday,0,14.4 kg,Intermediate,Meat,16.81
622,9/25/2024,291,13,28.5 °C,55.16%,Wednesday,0,21.8 kg,Expert,Vegetables,38.97
483,9/24/2024,114,14,32.6 °C,77.04%,Tuesday,0,12.0 kg,Beginner,Vegetables,29.35
490,9/22/2024,326,15,28.0 °C,62.10%,Sunday,0,18.4 kg,Unknown,Meat,37.94
298,9/21/2024,393,9,12.2 °C,59.97%,Saturday,0,23.1 kg,Beginner,Meat,43.74
748,9/19/2024,338,16,16.1 °C,68.28%,Thursday,0,26.4 kg,Intermediate,Dairy,185.69
321,9/18/2024,462,10,23.1 °C,82.42%,Wednesday,0,43.0 kg,Unknown,Vegetables,62.4
533,9/17/2024,337,15,32.0 °C,54.68%,Tuesday,0,19.2 kg,Intermediate,Dairy,32.97
488,9/16/2024,210,19,30.5 °C,77.24%,Monday,0,17.2 kg,Expert,Meat,36.39
807,9/15/2024,102,8,16.4 °C,32.10%,Sunday,0,37.4 kg,Unknown,Meat,27.94
440,9/14/2024,106,14,17.9 °C,81.59%,Saturday,0,13.6 kg,Unknown,Meat,19.18
38,9/13/2024,470,9,26.3 °C,84.92%,Friday,0,29.2 kg,Intermediate,Dairy,57.93
148,9/11/2024,286,17,34.7 °C,50.02%,Wednesday,0,41.1 kg,Intermediate,Dairy,36
804,9/10/2024,113,15,29.0 °C,77.98%,Tuesday,1,38.6 kg,Unknown,Meat,53.28
22,9/9/2024,253,17,12.8 °C,42.37%,Monday,0,6.6 kg,Unknown,Dairy,18.67
801,9/8/2024,464,13,33.0 °C,55.65%,Sunday,0,20.6 kg,Expert,Meat,39.75
599,9/7/2024,485,15,17.4 °C,76.24%,Saturday,0,43.3 kg,Intermediate,Vegetables,67.29
500,9/6/2024,315,15,18.4 °C,47.49%,Friday,0,22.7 kg,Intermediate,Meat,37.11
736,9/5/2024,177,5,34.3 °C,89.26%,Thursday,1,5.5 kg,Intermediate,Grains,21.57
669,9/4/2024,127,16,19.5 °C,45.20%,Wednesday,0,36.3 kg,Expert,Dairy,36.8
222,9/3/2024,113,12,15.2 °C,60.82%,Tuesday,0,43.7 kg,Beginner,Grains,30.17
1027,9/2/2024,313,7,30.6 °C,53.85%,Monday,0,29.0 kg,Expert,Meat,34.78
792,9/1/2024,155,12,10.7 °C,77.21%,Sunday,0,38.5 kg,Beginner,Grains,38.31
855,8/31/2024,226,10,12.3 °C,47.00%,Saturday,0,45.8 kg,Intermediate,Vegetables,48.23
283,8/30/2024,402,5,27.2 °C,59.61%,Friday,1,38.8 kg,Beginner,Meat,65.85
412,8/29/2024,306,17,13.3 °C,53.00%,Thursday,0,9.6 kg,Intermediate,Dairy,32.88
875,8/28/2024,279,17,26.4 °C,83.10%,Wednesday,0,28.2 kg,Expert,Grains,41.14
59,8/27/2024,352,15,34.5 °C,49.98%,Tuesday,0,14.9 kg,Expert,Meat,37.26
543,8/25/2024,212,6,18.1 °C,65.69%,Sunday,0,7.9 kg,Beginner,Meat,23.81
110,8/24/2024,107,12,28.1 °C,65.83%,Saturday,0,12.4 kg,Beginner,Meat,18.32
835,8/23/2024,356,12,13.1 °C,42.92%,Friday,0,29.6 kg,Beginner,Vegetables,38.24
428,8/21/2024,125,14,34.7 °C,51.29%,Wednesday,1,10.1 kg,Intermediate,Dairy,32.54
419,8/20/2024,436,7,18.0 °C,84.67%,Tuesday,0,23.9 kg,Expert,Grains,41.18
448,8/19/2024,160,17,28.5 °C,34.63%,Monday,0,9.3 kg,Intermediate,Dairy,19.11
202,8/18/2024,147,18,12.9 °C,30.95%,Sunday,1,12.6 kg,Unknown,Grains,38.05
